Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Шелест,Едита,Орестівна,Жінка,05.06.1985,Електромонтажник,селище Галич,"шосе Басейний 1-й, буд. 64, Радомишль, 77747",041 041-51-01,wiaremkiv@example.net
Гайденко,Нестор,Ааронович,Чоловік,03.10.1939,Юрист,місто Корець,"шосе Крайня, буд. 9 кв. 863, Болград, 20440",+380 86 587-47-75,babychenkohlib@example.net
Вернидуб,Леонід,Едуардович,Чоловік,25.07.1982,Ді-джей,місто Червоноград,"набережна Діхтієвського Віктора, буд. 705, Токмак, 59052",669 17 05,zlavrenko@example.org
Єресько,Данна,Хомївна,Жінка,19.03.1981,Флорист,місто Оріхів,"проспект Академіка Вільямса, буд. 98 кв. 239, Славута, 56184",098 534-88-83,pavlychenkoborys@example.net
Девдюк,Гліб,Валерійович,Чоловік,04.01.1965,Правник,хутір Ізяслав,"вулиця Долинська, буд. 539 кв. 176, Дружківка, 39901",009 52 23,bohdanna89@example.net
Худобʼяк,Ігнат,Ярославович,Чоловік,13.07.1956,Няня,село Лохвиця,"площа Шишкіна 3-й, буд. 369, Кам'янка-Бузька, 40304",+380 12 762 44 89,shevchenkonestor@example.net
Скоробогатько,Надія,Богданівна,Жінка,03.07.1940,Золотар,село Сватове,"проспект Хімічний 3-й, буд. 06 кв. 812, Керч, 90679",030 287 26 11,ltkach@example.org
Франко,Михайло,Арсенович,Чоловік,10.07.1948,Випробувач,місто Олександрія,"вулиця Виноградна 1-ша, буд. 0, Лебедин, 59489",+380 66 896 26 57,liudmyla30@example.net
Нестайко,Єва,Азарівна,Жінка,23.02.1978,Фрілансер,місто Гребінка,"вулиця Утьосова, буд. 2 кв. 2, Сніжне, 07728",+380 30 019 32 20,iereskoanton@example.com
Швачко,Марта,Євгенівна,Жінка,16.12.1945,Геофізик,селище Андрушівка,"шосе Краснова, буд. 617 кв. 175, Коростишів, 22509",+380 44 325 70 97,vladyslav88@example.net
Терещенко,Сергій,Данилович,Чоловік,31.08.1956,Вчитель,село Копичинці,"набережна Райдужна, буд. 536, Волочиськ, 26699",898 62 40,ivanchenkoarkadii@example.org
Балабан,Одарка,Георгіївна,Жінка,14.05.1964,Менеджер,хутір Ізяслав,"набережна Сухолиманна, буд. 9, Іллінці, 50255",546 27 78,lytvynenkopetro@example.com
Дахно,Микита,Захарович,Чоловік,01.01.1951,Петрограф,селище Алупка,"вулиця Басейний 1-й, буд. 7 кв. 992, Жданівка, 31784",980-56-73,havrylenkomilena@example.com
Шамрай,Микита,Демʼянович,Чоловік,25.11.1979,Композитор,селище Заставна,"набережна Полуничний, буд. 93, Первомайськ, 27685",057 519 45 81,nesterenkoorkhyp@example.com
Дуплій,Віталій,Юхимович,Чоловік,13.08.1942,Фармацевт,хутір Костопіль,"узвіз Лінія 39-та, буд. 29 кв. 649, Городенка, 36119",+380 69 943-94-21,oryna08@example.net
Чалий,Леон,Олексаович,Чоловік,19.02.1960,Провізор,селище Долинська,"парк В’ячеслава Чорновола, буд. 35, Миколаїв, 14484",+380 01 149-49-76,avrelii51@example.com
Авраменко,Вікторія,Прохірівна,Жінка,19.02.1974,Головний меркшейдер,хутір Сміла,"набережна Сортувальна 1-ша, буд. 663, Монастирище, 57503",089 451 61 06,klavdiiavernydub@example.com
Філіпенко,Азар,Святославович,Чоловік,28.06.1974,Лікар,село Червоносів,"сквер Дорбуду, буд. 968 кв. 2, Вилкове, 01867",066 745 08 37,ebaturynets@example.com
Мірошниченко,Варвара,Макарівна,Жінка,15.10.1973,Детектив,селище Овруч,"площа Стахановський 4-й, буд. 65 кв. 48, Зміїв, 77152",094 772-77-64,hermanlytvyn@example.net
Дейнеко,Леопольд,Вʼячеславович,Чоловік,13.06.1981,Державний службовець,селище Трускавець,"площа Єфімова, буд. 4, Монастириська, 50531",081 423 88 65,teslenkokyrylo@example.com
Скопенко,Михайлина,Зиновіївна,Жінка,21.07.1963,Економіст,село Кам'янка-Бузька,"площа Олександра Невського 2-й, буд. 1 кв. 942, Прилуки, 15106",279 11 12,vlokhkyrylo@example.net
Шаблій,Марко,Федірович,Чоловік,17.05.1974,Перекладач,село Рахів,"проспект Нова, буд. 653, Севастополь, 43911",897-91-99,bohdanabramenko@example.org
Батуринець,Амалія,Климентівна,Жінка,11.02.1976,Правник,село Сарни,"шосе Тульська, буд. 26 кв. 1, Ізмаїл, 48129",+380 01 825-26-11,varfolomii74@example.com
Засенко,Богдан,Бориславович,Чоловік,15.01.1950,Хореограф,хутір Армянськ,"набережна Пейзажна, буд. 944 кв. 3, Городня, 30253",203-31-67,ishchakedyta@example.net
Вергун,Владислав,Вадимович,Чоловік,08.03.1963,Прокурор,селище Кремінна,"набережна Омська, буд. 72 кв. 9, Сімферополь, 17262",+380 98 902-06-88,hordii31@example.org
Іщак,Григорій,Єлисейович,Чоловік,15.02.1967,Скульптор,село Соледар,"набережна Конструкторський, буд. 4 кв. 2, Новий Розділ, 41019",+380 67 683-43-56,semenzinchuk@example.org
Ейбоженко,Варфоломій,Ярославович,Чоловік,28.11.2002,Модель,селище Судова Вишня,"набережна Китобійний 1-й, буд. 2, Снятин, 50694",356 30 02,iatseniukhennadii@example.com
Затовканюк,Арсен,Опанасович,Чоловік,13.10.1941,Ботанік,село Житомир,"вулиця Білоруська, буд. 18 кв. 28, Городище , 26086",+380 83 191-38-94,wsamoilenko@example.com
Єрмоленко,Тереза,Павлоівна,Жінка,04.01.1950,Скульптор,хутір Южне,"узвіз Товарний, буд. 2 кв. 5, Барвінкове, 80378",+380 75 246 96 04,romanenkomarta@example.net
Михайлюк,Христина,Едуардівна,Жінка,05.05.2000,Психолог,хутір Богодухів,"шосе 40-річчя оборони Одеси, буд. 512 кв. 8, Снігурівка, 82712",+380 81 695-07-71,vladyslav59@example.net
Зінчук,Ірена,Григоріївна,Жінка,06.11.1943,Електромонтажник,хутір Ромни,"парк Виноградна 1-ша, буд. 84 кв. 333, Бахмут, 15419",+380 67 584 52 82,prokhirsheremeta@example.org
Удовенко,Анжела,Богодарівна,Жінка,08.09.1965,Економіст,місто Снігурівка,"парк Таїрова, буд. 582, Моспине, 95061",813 71 52,ihor98@example.com
Сірко,Опанас,Орхипович,Чоловік,03.07.1945,Краєзнавець,хутір Зіньків,"узвіз Цементний, буд. 38 кв. 93, Зимогір'я, 02252",+380 (75) 024-79-25,emiliia85@example.net
Міщенко,Омелян,Павлович,Чоловік,28.12.1999,Ді-джей,хутір Краматорськ,"сквер Залізнична, буд. 890 кв. 09, Черкаси, 30330",+380 (61) 343-03-28,liakovenko@example.net
Перебийніс,Станіслав,Мартинович,Чоловік,10.03.1947,Стиліст,місто Білогірськ,"узвіз Псковський, буд. 7, Кам'янське, 48320",+380 71 064-93-76,vpetryk@example.org
Доценко,Галина,Сергіївна,Жінка,27.09.1999,Інженер,місто Винники,"площа Моторний 3-й, буд. 835, Зимогір'я, 70763",027 697-78-38,nazarizhak@example.org
Ейбоженко,Болеслав,Петрович,Чоловік,23.07.1997,Фармацевт,місто Васильків,"парк Чорноморський 5-й, буд. 9 кв. 67, Городок, 67705",806 25 26,abrahamovskyisemen@example.org
Жук,Едуард,Гордійович,Чоловік,10.12.1958,Геофізик,селище Зіньків,"шосе Князівський, буд. 714 кв. 662, Шаргород, 78406",008 754-25-31,maksymdemianenko@example.org
Вакуленко,Богуслав,Андрійович,Чоловік,02.03.1946,Соціолог,місто Краматорськ,"провулок Хвойний, буд. 249, Черкаси, 32703",+380 79 805-42-73,tarasakymenko@example.net
Кириленко,Єлисей,Вʼячеславович,Чоловік,03.09.1971,Географ,селище Шумськ,"проспект Малиновський, буд. 62, Теплодар, 67865",+380 03 823-08-64,fgerega@example.net
